sentiment,Mean PnL,Median PnL,Total PnL,Trade Count
Extreme Fear,69.85200914674226,6.1279544999999995,726880.007181,10406
Fear,111.04925609910092,6.010164,3310156.225802,29808
Neutral,69.9740066412798,4.389699,1270657.986599,18159
Greed,84.2251186022005,4.6356470000000005,2120451.585929,25176
Extreme Greed,129.54996634158155,8.391439,2701505.448121,20853
