date,daily_pnl,fg_value,rolling_pnl
2024-12-22,351998.020696,73,173838.1498697143
2024-12-23,-30290.568352999995,70,145699.5521607143
2024-12-24,14523.595052,73,116441.56911414284
2024-12-25,721.059311,73,114669.35724985714
2024-12-26,59859.268695,79,114359.92165857143
2024-12-27,2640.87943,74,78423.211765
2024-12-28,906.2390889999999,72,57194.07056000001
2024-12-29,2869.8713900000002,73,7318.620659142857
2024-12-30,8865.528702,65,12912.348809857142
2024-12-31,5327.3359550000005,64,11598.597510285714
2025-01-01,-9539.055662,66,10132.866799857144
2025-01-02,8618.455095,70,2812.750571285714
2025-01-03,5919.92024,74,3281.184972714286
2025-01-04,2539.61317,73,3514.524127142857
2025-01-05,3118.284415,72,3550.011702142857
2025-01-06,5990.799181,76,3139.3360562857147
2025-01-07,16000.995174,78,4664.144516142856
2025-01-08,129871.64535299999,70,24579.95894685714
2025-01-09,46758.53377,69,30028.541614714286
2025-01-10,-11297.952374,50,27568.845526999998
2025-01-11,2069.2130540000003,69,27501.645510428574
2025-01-12,5416.659772,62,27829.984847142856
2025-01-13,9233.501113,61,28293.227980285712
2025-01-14,15939.209236,63,28284.40141771428
2025-01-15,14547.666639,70,11809.547315714286
2025-01-16,20347.419368,75,8036.530972571428
2025-01-17,6831.966011,75,10626.519313285713
2025-01-18,59.7239460000002,77,10339.449440714283
2025-01-19,87076.56753,77,22005.150548999994
2025-01-20,86165.93990699999,76,32995.49894814286
2025-01-21,10901.579144,76,32275.83750642857
2025-01-22,20324.19716,84,33101.05615228571
2025-01-23,100479.80962,75,44548.540473999994
2025-01-24,10392.305771,75,45057.16043971428
2025-01-25,-10476.123850000002,75,43552.039326000006
2025-01-26,40617.381073000004,73,36915.012689285715
2025-01-27,41212.310022,71,30493.06556285714
2025-01-28,17886.814546999998,72,31490.956334714283
2025-01-29,23120.632028,72,31890.447030142856
2025-01-30,22613.836391,70,20766.73656885714
2025-01-31,35523.964576,76,24356.973541000003
2025-02-01,32140.27818,68,30445.03097385714
2025-02-02,162366.811444,60,47837.80674114286
2025-02-03,347670.726332,44,91617.58049971427
2025-02-04,414628.703496,72,148294.99320671428
2025-02-05,55971.735775,54,152988.00802771427
2025-02-06,33331.933178,49,154519.16471157144
2025-02-07,22020.850393,44,152590.1483997143
2025-02-08,567.848133,44,148079.80125014283
2025-02-09,150298.054373,46,146355.69309714288
2025-02-10,63662.750107,43,105783.125065
2025-02-11,-6327.463431,47,45646.52978971428
2025-02-12,19346.10315,46,40414.296557571426
2025-02-13,27418.296723,50,39569.491349714284
2025-02-14,213244.809746,48,66887.19982871429
2025-02-15,44750.685703999996,50,73199.03376742857
2025-02-16,2261.256766,54,52050.919823571436
2025-02-17,1699.231681,51,43198.98861985714
2025-02-18,90745.51542,47,57066.55702714286
2025-02-19,14585.878469,44,56386.52492985715
2025-02-20,45354.308526,49,58948.81233028572
2025-02-21,119235.965765,55,45518.977475857144
2025-02-22,24823.588625,49,42672.249321714284
2025-02-23,10529.635822,50,43853.44632971428
2025-02-24,37407.56768,49,48954.63718671429
2025-02-25,203521.239864,25,65065.45496442857
2025-02-26,62597.786411,21,71924.29895614285
2025-02-27,-36827.649784,10,60184.019197571426
2025-02-28,224991.610307,16,75291.96841785715
2025-03-01,10578.682316,20,73256.98180228572
2025-03-02,65988.247623,26,81179.640631
2025-03-03,615707.357509,33,163793.89632085714
2025-03-04,181210.93615300002,15,160606.71007642857
2025-03-05,267646.305637,20,189899.35568014285
2025-03-06,15674.897309,25,197399.7195505714
2025-03-07,147499.104516,34,186329.36158042858
2025-03-08,24557.945357,28,188326.39915771427
2025-03-09,18741.41942,27,181576.85227157144
2025-03-10,-11465.597550000002,20,91980.71583457143
2025-03-11,-78338.126093,24,54902.27837085714
2025-03-12,285714.414068,34,57483.43671814286
2025-03-13,13723.086778,45,57204.60664228571
2025-03-14,67923.376359,27,45836.645477
2025-03-15,78375.170567,46,53524.820507000004
2025-03-16,-9121.2117,30,49544.44463271429
2025-03-17,25787.541062,32,54866.321577285715
2025-03-18,72000.254196,34,76343.23304714286
2025-03-19,28957.819464,32,39663.719532285715
2025-03-20,10053.693807,49,39139.52053642857
2025-03-21,6655.275900000001,31,30386.934756571438
2025-03-22,12299.874881,32,20947.606801428577
2025-03-23,13765.669418,30,24217.16124685715
2025-03-24,107485.716853,45,35888.329217000006
2025-03-25,31229.730314,46,30063.96866242858
2025-03-26,14823.776203,47,28044.819625142867
2025-03-27,58506.002088,40,34966.57795100001
2025-03-28,21176.663454,44,37041.06188728572
2025-03-29,11827.64698,26,36973.60075857143
2025-03-30,15529.924653,32,37225.63722071429
2025-03-31,6622.965748999999,34,22816.672777285723
2025-04-01,-2306.2457999999997,34,18025.819046714296
2025-04-02,201138.678553,44,44642.233668142864
2025-04-03,-2873.249733,25,35873.769122285725
2025-04-04,-26000.377436,28,29134.191852285727
2025-04-05,35695.581779,30,32543.89682357144
2025-04-06,46820.427193999996,34,37013.96861514287
2025-04-07,33315.902434999996,23,40827.245284571436
2025-04-08,33641.547685,24,45962.644353857155
2025-04-09,40408.593292,18,23001.203602285725
2025-04-10,154814.92072,39,45528.085095571434
2025-04-11,125341.931372,25,67148.41492528572
2025-04-12,406056.93842500006,43,120057.1801604286
2025-04-13,47626.283284000005,45,120172.30245900001
2025-04-14,44336.903801,31,121746.73122557146
2025-04-15,71018.41918900001,38,127086.28429757144
2025-04-16,55997.719402,29,129313.30231328575
2025-04-17,5147.519067,30,107932.24493428574
2025-04-18,1949.938605999996,33,90304.81739628573
2025-04-19,67508.144731,32,41940.704011428585
2025-04-20,24459.574201,37,38631.17414242858
2025-04-21,30618.660804,39,36671.42514285715
2025-04-22,56300.240447000004,47,34568.82817971429
2025-04-23,-423491.059581,72,-33929.568817857136
2025-04-24,46779.017421000004,63,-27982.21191014285
2025-04-25,17192.2866,60,-25804.733625285702
2025-04-26,-4215.994584,65,-36051.03924171428
2025-04-27,2666.675335,61,-39164.3105082857
2025-04-28,32398.799844,54,-38910.00493114285
2025-04-29,124305.252446,60,-29195.00321699999
2025-04-30,13656.836637,56,33254.6962427143
2025-05-01,52505.81558,53,34072.81026542858
